timestamp,ecg_raw,ecg_voltage,temperature,ecg_change_percent,temp_change_celsius,bpm
1764814751.4834096,9701,1.3392,37.65,-3.9249519078939255,0.11948453608247434,70
1764814751.5853622,9801,1.3392,37.6,-3.9249519078939255,0.06948453608247718,70
1764814751.687236,9901,1.3392,37.69,-3.9249519078939255,0.15948453608247348,70
1764814751.7894018,10001,1.3392,37.65,-3.9249519078939255,0.11948453608247434,70
1764814751.8917706,10101,1.3392,37.41,-3.9249519078939255,-0.12051546391752765,70
1764814751.993849,10201,1.3441,37.69,-3.5734228340802066,0.15948453608247348,70
1764814752.0982175,10301,1.3392,37.37,-3.9249519078939255,-0.1605154639175268,70
1764814752.2008188,10401,1.3441,37.32,-3.5734228340802066,-0.21051546391752396,70
1764814752.3029249,10501,1.3441,37.46,-3.5734228340802066,-0.07051546391752339,70
1764814752.4414911,10601,1.3441,37.41,-3.5734228340802066,-0.12051546391752765,70
1764814752.5452812,10701,1.3441,37.6,-3.5734228340802066,0.06948453608247718,70
1764814752.6674013,10801,1.3441,37.51,-3.5734228340802066,-0.020515463917526233,64
1764814752.7693775,10901,1.349,37.41,-3.2218937602665045,-0.12051546391752765,75
1764814752.8717537,11001,1.3441,37.69,-3.5734228340802066,0.15948453608247348,78
1764814752.9734812,11101,1.3441,37.27,-3.5734228340802066,-0.2605154639175211,80
1764814753.0754044,11201,1.349,37.41,-3.2218937602665045,-0.12051546391752765,81
1764814753.1781008,11301,1.3441,37.65,-3.5734228340802066,0.11948453608247434,86
1764814753.2803109,11401,1.3441,37.74,-3.5734228340802066,0.20948453608247775,86
1764814753.382129,11501,1.349,37.51,-3.2218937602665045,-0.020515463917526233,86
1764814753.4839811,11601,1.3441,37.65,-3.5734228340802066,0.11948453608247434,86
1764814753.5871637,11701,1.3441,37.55,-3.5734228340802066,0.019484536082472914,86
1764814753.68917,11801,1.349,37.46,-3.2218937602665045,-0.07051546391752339,86
1764814753.7914217,11901,1.3441,37.74,-3.5734228340802066,0.20948453608247775,86
1764814753.894377,12001,1.3441,37.27,-3.5734228340802066,-0.2605154639175211,86
1764814753.9981225,12101,1.349,37.46,-3.2218937602665045,-0.07051546391752339,86
1764814754.1003606,12201,1.349,37.32,-3.2218937602665045,-0.21051546391752396,86
1764814754.2027562,12301,1.349,37.41,-3.2218937602665045,-0.12051546391752765,86
1764814754.304555,12401,1.349,37.41,-3.2218937602665045,-0.12051546391752765,86
1764814754.40669,12501,1.3441,37.51,-3.5734228340802066,-0.020515463917526233,86
1764814754.508727,12601,1.3441,37.51,-3.5734228340802066,-0.020515463917526233,86
1764814754.6111643,12701,1.3441,37.65,-3.5734228340802066,0.11948453608247434,86
1764814754.713432,12801,1.3441,37.65,-3.5734228340802066,0.11948453608247434,86
1764814754.8156123,12901,1.3441,37.27,-3.5734228340802066,-0.2605154639175211,86
1764814754.91783,13001,1.3441,37.41,-3.5734228340802066,-0.12051546391752765,86
1764814755.02019,13101,1.3392,37.6,-3.9249519078939255,0.06948453608247718,86
1764814755.1228125,13201,1.3392,37.55,-3.9249519078939255,0.019484536082472914,86
1764814755.2248974,13301,1.3392,37.55,-3.9249519078939255,0.019484536082472914,86
1764814755.3271825,13401,1.3441,37.65,-3.5734228340802066,0.11948453608247434,86
1764814755.4294982,13501,1.3441,37.51,-3.5734228340802066,-0.020515463917526233,86
1764814755.531275,13601,1.3441,37.65,-3.5734228340802066,0.11948453608247434,86
1764814755.633802,13701,1.3441,37.69,-3.5734228340802066,0.15948453608247348,86
1764814755.7364044,13801,1.3441,37.65,-3.5734228340802066,0.11948453608247434,86
1764814755.8383713,13901,1.3441,37.65,-3.5734228340802066,0.11948453608247434,86
1764814755.9404109,14001,1.3441,37.32,-3.5734228340802066,-0.21051546391752396,86
1764814756.0430603,14101,1.3441,37.37,-3.5734228340802066,-0.1605154639175268,86
1764814756.1450503,14201,1.3441,37.27,-3.5734228340802066,-0.2605154639175211,86
1764814756.2467291,14301,1.349,37.27,-3.2218937602665045,-0.2605154639175211,86
1764814756.349092,14401,1.3441,37.46,-3.5734228340802066,-0.07051546391752339,86
1764814756.4516315,14501,1.3441,37.65,-3.5734228340802066,0.11948453608247434,77
1764814756.5535798,14601,1.3441,37.46,-3.5734228340802066,-0.07051546391752339,69
1764814756.6562035,14701,1.3245,37.0,-4.97953912933505,-0.5305154639175242,61
1764814756.7591982,14801,1.3392,37.32,-3.9249519078939255,-0.21051546391752396,54
1764814756.8628833,14901,1.3392,37.27,-3.9249519078939255,-0.2605154639175211,46
1764814756.9652956,15001,1.3392,37.51,-3.9249519078939255,-0.020515463917526233,47
1764814757.0674536,15101,1.3343,37.46,-4.276480981707628,-0.07051546391752339,47
1764814757.1695666,15201,1.3343,37.51,-4.276480981707628,-0.020515463917526233,47
1764814757.2722023,15301,1.3343,37.27,-4.276480981707628,-0.2605154639175211,47
1764814757.3753042,15401,1.3294,37.65,-4.628010055521347,0.11948453608247434,48
1764814757.4781651,15501,1.3294,37.74,-4.628010055521347,0.20948453608247775,48
1764814757.5803106,15601,1.3245,37.32,-4.97953912933505,-0.21051546391752396,48
1764814757.6826112,15701,1.3294,37.41,-4.628010055521347,-0.12051546391752765,49
1764814757.784737,15801,1.3245,37.51,-4.97953912933505,-0.020515463917526233,49
1764814757.8867767,15901,1.3245,37.27,-4.97953912933505,-0.2605154639175211,49
1764814757.988664,16001,1.3245,37.69,-4.97953912933505,0.15948453608247348,49
1764814758.090972,16101,1.3245,37.51,-4.97953912933505,-0.020515463917526233,49
