timestamp,ecg_raw,ecg_voltage,temperature,ecg_change_percent,temp_change_celsius,bpm
1764815321.95976,9801,1.3539,38.26,-6.3556154997660155,-0.07683673469387742,70
1764815322.061931,9901,1.349,38.26,-6.694530843625354,-0.07683673469387742,70
1764815322.163586,10001,1.3539,38.07,-6.3556154997660155,-0.26683673469387514,70
1764815322.2659228,10101,1.3587,38.02,-6.023616795577291,-0.3168367346938723,70
1764815322.3678026,10201,1.3587,38.02,-6.023616795577291,-0.3168367346938723,70
1764815322.4710145,10301,1.3587,38.26,-6.023616795577291,-0.07683673469387742,70
1764815322.5740252,10401,1.3587,38.21,-6.023616795577291,-0.12683673469387458,70
1764815322.6756902,10501,1.3636,38.16,-5.684701451717967,-0.17683673469387884,70
1764815322.7784777,10601,1.3636,38.12,-5.684701451717967,-0.21683673469387799,70
1764815322.8806052,10701,1.3636,38.21,-5.684701451717967,-0.12683673469387458,70
1764815322.9828687,10801,1.3636,38.45,-5.684701451717967,0.11316326530612741,70
1764815323.0860841,10901,1.3636,38.35,-5.684701451717967,0.013163265306125993,70
1764815323.1889079,11001,1.3587,38.4,-6.023616795577291,0.06316326530612315,70
1764815323.2902923,11101,1.3587,38.5,-6.023616795577291,0.16316326530612457,70
1764815323.3917341,11201,1.3587,38.5,-6.023616795577291,0.16316326530612457,70
1764815323.4936445,11301,1.3539,38.4,-6.3556154997660155,0.06316326530612315,70
1764815323.5954914,11401,1.349,38.07,-6.694530843625354,-0.26683673469387514,70
1764815323.698003,11501,1.3441,38.31,-7.033446187484676,-0.026836734693873154,70
1764815323.8010578,11601,1.3392,38.26,-7.372361531344016,-0.07683673469387742,70
1764815323.9032805,11701,1.3392,38.31,-7.372361531344016,-0.026836734693873154,70
1764815324.0051427,11801,1.3343,38.31,-7.711276875203339,-0.026836734693873154,70
1764815324.1070843,11901,1.3294,38.16,-8.050192219062676,-0.17683673469387884,70
1764815324.2090256,12001,1.3294,38.21,-8.050192219062676,-0.12683673469387458,70
1764815324.3108304,12101,1.3294,38.02,-8.050192219062676,-0.3168367346938723,70
1764815324.4131782,12201,1.3294,38.07,-8.050192219062676,-0.26683673469387514,70
1764815324.5155764,12301,1.3294,38.07,-8.050192219062676,-0.26683673469387514,70
1764815324.6188912,12401,1.3294,38.02,-8.050192219062676,-0.3168367346938723,70
1764815324.720887,12501,1.3294,38.4,-8.050192219062676,0.06316326530612315,70
1764815324.8226943,12601,1.3343,38.02,-7.711276875203339,-0.3168367346938723,70
1764815324.9257197,12701,1.3343,38.26,-7.711276875203339,-0.07683673469387742,70
1764815325.0278666,12801,1.3392,38.02,-7.372361531344016,-0.3168367346938723,70
1764815325.1303954,12901,1.3392,38.21,-7.372361531344016,-0.12683673469387458,70
1764815325.2333198,13001,1.3392,38.16,-7.372361531344016,-0.17683673469387884,70
1764815325.3350253,13101,1.3441,38.12,-7.033446187484676,-0.21683673469387799,70
1764815325.4369218,13201,1.3392,38.16,-7.372361531344016,-0.17683673469387884,70
1764815325.5395815,13301,1.3392,38.21,-7.372361531344016,-0.12683673469387458,70
1764815325.6417153,13401,1.3441,38.07,-7.033446187484676,-0.26683673469387514,70
1764815325.7435148,13501,1.3441,38.07,-7.033446187484676,-0.26683673469387514,70
1764815325.8460531,13601,1.3441,38.21,-7.033446187484676,-0.12683673469387458,70
1764815325.947571,13701,1.3441,38.4,-7.033446187484676,0.06316326530612315,70
1764815326.049767,13801,1.3441,38.45,-7.033446187484676,0.11316326530612741,70
1764815326.1516702,13901,1.3441,38.31,-7.033446187484676,-0.026836734693873154,70
1764815326.2532065,14001,1.3441,38.02,-7.033446187484676,-0.3168367346938723,70
1764815326.3548648,14101,1.3441,38.12,-7.033446187484676,-0.21683673469387799,70
1764815326.4569285,14201,1.3539,38.12,-6.3556154997660155,-0.21683673469387799,70
1764815326.5589254,14301,1.349,38.26,-6.694530843625354,-0.07683673469387742,70
1764815326.6612124,14401,1.349,38.26,-6.694530843625354,-0.07683673469387742,70
1764815326.7643406,14501,1.3539,38.21,-6.3556154997660155,-0.12683673469387458,70
1764815326.8667424,14601,1.3441,38.5,-7.033446187484676,0.16316326530612457,70
1764815326.9686315,14701,1.349,38.31,-6.694530843625354,-0.026836734693873154,70
1764815327.070657,14801,1.3392,38.31,-7.372361531344016,-0.026836734693873154,70
1764815327.1728926,14901,1.349,38.21,-6.694530843625354,-0.12683673469387458,70
1764815327.2751908,15001,1.3441,38.12,-7.033446187484676,-0.21683673469387799,70
1764815327.3786473,15101,1.3343,38.35,-7.711276875203339,0.013163265306125993,70
1764815327.4818401,15201,1.3441,38.16,-7.033446187484676,-0.17683673469387884,70
1764815327.5841525,15301,1.3392,38.16,-7.372361531344016,-0.17683673469387884,70
1764815327.6868005,15401,1.3441,38.26,-7.033446187484676,-0.07683673469387742,70
1764815327.7888494,15501,1.3392,38.4,-7.372361531344016,0.06316326530612315,70
1764815327.8909166,15601,1.3392,38.16,-7.372361531344016,-0.17683673469387884,70
1764815327.9932437,15701,1.3441,38.02,-7.033446187484676,-0.3168367346938723,70
1764815328.0949755,15801,1.3392,38.07,-7.372361531344016,-0.26683673469387514,70
1764815328.1971774,15901,1.3392,38.26,-7.372361531344016,-0.07683673469387742,70
1764815328.299489,16001,1.3441,38.12,-7.033446187484676,-0.21683673469387799,70
1764815328.4018524,16101,1.3392,38.07,-7.372361531344016,-0.26683673469387514,41
1764815328.5043392,16201,1.3441,38.02,-7.033446187484676,-0.3168367346938723,41
1764815328.6069784,16301,1.3196,37.93,-8.728022906781323,-0.4068367346938757,42
1764815328.7099767,16401,1.3099,37.41,-9.398936954829388,-0.9268367346938788,43
1764815328.8122609,16501,1.3392,38.21,-7.372361531344016,-0.12683673469387458,43
1764815328.914555,16601,1.3392,38.16,-7.372361531344016,-0.17683673469387884,43
1764815329.0165992,16701,1.3392,38.45,-7.372361531344016,0.11316326530612741,44
1764815329.1185234,16801,1.3392,38.26,-7.372361531344016,-0.07683673469387742,44
1764815329.2204678,16901,1.3392,38.26,-7.372361531344016,-0.07683673469387742,44
1764815329.3226333,17001,1.3343,38.4,-7.711276875203339,0.06316326530612315,44
1764815329.4260004,17101,1.3392,38.16,-7.372361531344016,-0.17683673469387884,44
1764815329.5284302,17201,1.3392,38.07,-7.372361531344016,-0.26683673469387514,44
1764815329.630773,17301,1.3343,38.54,-7.711276875203339,0.20316326530612372,44
1764815329.7327101,17401,1.3343,38.4,-7.711276875203339,0.06316326530612315,44
1764815329.835225,17501,1.3343,38.4,-7.711276875203339,0.06316326530612315,44
1764815329.9376173,17601,1.3343,38.26,-7.711276875203339,-0.07683673469387742,44
1764815330.0394344,17701,1.3294,38.07,-8.050192219062676,-0.26683673469387514,44
1764815330.1425934,17801,1.3343,38.16,-7.711276875203339,-0.17683673469387884,44
1764815330.244259,17901,1.3294,38.35,-8.050192219062676,0.013163265306125993,44
1764815330.3462093,18001,1.3294,38.5,-8.050192219062676,0.16316326530612457,44
1764815330.4489014,18101,1.3294,38.12,-8.050192219062676,-0.21683673469387799,44
1764815330.5507274,18201,1.3294,38.26,-8.050192219062676,-0.07683673469387742,44
1764815330.6527827,18301,1.3343,38.07,-7.711276875203339,-0.26683673469387514,44
1764815330.7547336,18401,1.3343,38.4,-7.711276875203339,0.06316326530612315,44
1764815330.8582547,18501,1.3343,38.4,-7.711276875203339,0.06316326530612315,44
1764815330.9604254,18601,1.3294,38.5,-8.050192219062676,0.16316326530612457,44
1764815331.0622728,18701,1.3343,38.5,-7.711276875203339,0.16316326530612457,44
1764815331.1644447,18801,1.3343,38.35,-7.711276875203339,0.013163265306125993,44
1764815331.2660856,18901,1.3294,38.4,-8.050192219062676,0.06316326530612315,44
1764815331.3676438,19001,1.3343,38.35,-7.711276875203339,0.013163265306125993,44
1764815331.4697797,19101,1.3343,38.07,-7.711276875203339,-0.26683673469387514,44
1764815331.571592,19201,1.3294,38.07,-8.050192219062676,-0.26683673469387514,44
1764815331.6739357,19301,1.3294,38.31,-8.050192219062676,-0.026836734693873154,44
1764815331.776534,19401,1.3294,38.64,-8.050192219062676,0.30316326530612514,44
1764815331.8795054,19501,1.3294,38.26,-8.050192219062676,-0.07683673469387742,44
1764815331.9819076,19601,1.3343,38.5,-7.711276875203339,0.16316326530612457,44
1764815332.0840292,19701,1.3294,38.31,-8.050192219062676,-0.026836734693873154,44
1764815332.186323,19801,1.3343,38.31,-7.711276875203339,-0.026836734693873154,44
